NUTS_ID,pop_95,pop_16,pop_50
AT11,277529,291011,292229
AT12,1518489,1653691,1717492
AT13,1542667,1840226,2174734
AT21,560708,560482,520755
AT22,1186136,1232012,1241974
AT31,1360051,1453948,1564507
AT32,506626,545815,576733
AT33,649875,739139,815176
AT34,341408,384147,442229
BE10,951580,1201285,1408311
BE21,1628710,1828927,1993930
BE22,771613,866970,860427
BE23,1349382,1489084,1583797
BE24,995266,1122600,1213677
BE25,1121135,1184418,1173521
BE31,336505,397745,426314
BE32,1286649,1341267,1347354
BE33,1015007,1103490,1124326
BE34,240281,283257,293194
BE35,434446,492074,502136
BG31,1143962,783909,468488
BG32,1089887,815441,544554
BG33,1057657,944458,767785
BG34,1245052,1052575,850331
BG41,2165613,2121185,1857416
BG42,1725247,1436216,1166452
CY00,645399,848319,1046219
CZ01,1214584,1267449,1492355
CZ02,1108007,1326876,1569323
CZ03,1183736,1214450,1238207
CZ04,1130267,1120654,997968
CZ05,1493626,1507209,1453700
CZ06,1665042,1684500,1641401
CZ07,1252299,1219394,1100776
CZ08,1285600,1213311,1036521
DE11,3841565,4069533,4237503
DE12,2645136,2761977,2931812
DE13,2071050,2224535,2262471
DE14,1714318,1823573,1924416
DE21,3959400,4588944,4920457
DE22,1131529,1212119,1240756
DE23,1047267,1092339,1099971
DE24,1104494,1059358,1000712
DE25,1660294,1738686,1798453
DE26,1308151,1306048,1277074
DE27,1710809,1846020,1902200
DE30,3472009,3520031,3992651
DE40,2536747,2484826,2320865
DE50,680029,671489,721341
DE60,1705872,1787408,1994063
DE71,3669956,3922369,4061065
DE72,1049136,1040091,1167033
DE73,1261601,1213712,1146788
DE80,1832298,1612362,1484617
DE91,1678659,1598164,1665137
DE92,2130480,2132290,2047856
DE93,1581074,1699969,1609484
DE94,2325150,2496176,2523531
DEA1,5287352,5173623,5121670
DEA2,4162040,4422371,4438751
DEA3,2558277,2614229,2643150
DEA4,1991074,2057996,2096052
DEA5,3817336,3597297,3603247
DEB1,1476996,1488308,1395050
DEB2,502475,532715,593599
DEB3,1972102,2031780,1969788
DEC0,1084201,995597,953851
DED2,1763956,1602754,1584997
DED4,1717612.346,1465612,1224694
DED5,1102776.654,1016485,976684
DEE0,2759213,2245470,2012673
DEF0,2708392,2858714,2737522
DEG0,2517776,2170714,1987740
DK01,1612115.583,1789174,1941274
DK02,758698.7598,827499,855664
DK03,1110177.551,1211770,1246607
DK04,1179398.703,1293309,1437686
DK05,536251.4035,585499,616959
EE00,1448075,1315944,1256223
EL30,3755616,3781274,3078979
EL41,198878,196654,332859
EL42,280421,334791,377781
EL43,556202,631812,637501
EL51,576350,604504,563168
EL52,1763273,1883339,1666719
EL53,291394,273843,207315
EL54,333350,336834,286784
EL61,740298,729442,601250
EL62,196987,206141,188465
EL63,708189,668258,534531
EL64,552208,555830,516335
EL65,582807,581026,511440
ES11,2727113,2720102,2359287
ES12,1086001,1040925,820426
ES13,531185,582504,526400
ES21,2097947,2164066,2158780
ES22,531732,637486,719331
ES23,268055,312810,295462
ES24,1196261,1318571,1273947
ES30,5116658,6424275,8159656
ES41,2520690,2454454,1960295
ES42,1698263,2048900,1817449
ES43,1065076,1084969,896045
ES51,6161209,7408290,8755298
ES52,3969401,4932347,5141574
ES53,756141,1135527,1577043
ES61,7115498,8403774,8425577
ES62,1100679,1466474,1635530
ES63,69318,84652,83788
ES64,60450,84764,90478
ES70,1568049,2135209,2652164
FI19,1313881,1379116,1259865
FI1B,1293573,1620261,1898949
FI1C,1128490,1160491,1000867
FI1D,1337652,1298457,1097178
FI20,25158,28983,33850
FR10,10858975,12117132,13471900
FRB0,2418315,2577866,2436435
FRC1,1615509,1637941,1495238
FRC2,1111540,1180397,1126458
FRD1,1408316,1477349,1370197
FRD2,1771034,1858580,1783414
FRE1,3986346,4074448,3984575
FRE2,1846150,1932422,1851569
FRF1,1687475,1884150,1996307
FRF2,1350114,1333248,1226221
FRF3,2315488,2337788,2222723
FRG0,3145757,3737632,4063404
FRH0,2840680,3306529,3464268
FRI1,2855720,3393297,3824516
FRI2,716942,736015,690825
FRI3,1619284,1806291,1763131
FRJ1,2209034,2793303,3138368
FRJ2,2494806,3015132,3381300
FRK1,1312232,1363392,1356340
FRK2,5525090,6553497,7340144
FRL0,4405312,5021928,5222837
FRM0,258416,330455,396168
FRY1, ,429856,323848
FRY2, ,376480,276254
FRY3, ,269352,438709
FRY4, ,852924,880556
FRY5, ,240987,485198
HR02,1207704.856,1086329.157,941310.3649
HR03,1580347.735,1421521.006,1231756
HR05,933526.1083,839705.6818,727609.7276
HR06,937314.3001,843113.156,730562.3234
HU11,1806438.031,1759407,1721777
HU12,1100674.969,1234541,1379555
HU21,1122945,1060703,995843
HU22,1010586,983933,998534
HU23,1013057,900868,779239
HU31,1320843,1153714,988216
HU32,1566304,1474383,1281525
HU33,1395788,1262936,1125663
IE04,646744.6522,839204,1083972
IE05,1212569.816,1575504,2000408
IE06,1738302.532,2311578,3128811
ITC1,4261168,4404246,4020563
ITC2,116653,127329,118033
ITC3,1641159,1571053,1414382
ITC4,8875974,10008349,10447894
ITF1,1254352,1326513,1212877
ITF2,329214,312027,266362
ITF3,5691818,5850850,5316666
ITF4,4055934,4077166,3546358
ITF5,609799,573694,469676
ITF6,2064883,1970521,1762948
ITG1,5004913,5074261,4446504
ITG2,1651147,1658138,1374637
ITH1,446195,520891,645520
ITH2,455982,538223,574451
ITH3,4400073,4915123,4964450
ITH4,1183131,1221218,1186076
ITH5,3781814.158,4448146,4667688
ITI1,3505309,3744398,3624515
ITI2,813664,891181,819100
ITI3,1387670.904,1543752,1411898
ITI4,5154261,5888472,5834434
LT01,887779.8603,805380,788703
LT02,2755211.14,2083178,1349236
LU00,405650,576249,769048
LV00,2500580,1968957,1395039
MT00,369451,450415,668373
NL11,557995,583721,542010
NL12,609579,646040,620648
NL13,454864,488629,450633
NL21,1050389,1144280,1182994
NL22,1864732,2035351,2160732
NL23,262325,404068,442514
NL31,1063460,1273613,1477933
NL32,2463611,2784854,3068194
NL33,3325064,3622303,4101352
NL34,365846,381252,373907
NL41,2276207,2498749,2668874
NL42,1130050,1116260,1052501
PL21,3179728,3330031,3278958
PL22,4917696,4520567,3793196
PL41,3324822,3450966,3244419
PL42,1716700,1684025,1420131
PL43,1012045,1005159,864941
PL51,2988327,2864624,2533891
PL52,1095398,952557,798822
PL61,2090331,2062006,1775505
PL62,1449121,1414734,1196632
PL63,2158019,2277059,2273660
PL71,2500806.61,2479350,2030186
PL72,1250360.858,1241895,990773
PL81,2137410.668,2118528,1746418
PL82,2117779.014,2083496,1919343
PL84,1173093.692,1158945,1014946
PL91,3078846.392,2979942,3215944
PL92,2369652.302,2343325,2004439
PT11,3551449,3603778,3061456
PT15,357495,441929,440108
PT16,2282411,2256364,1876403
PT17,2551871,2812678,3020855
PT18,779171,724391,544312
PT20,239757,245766,214674
PT30,246505,256424,217539
RO11,2888806,2576567,2150126
RO12,2684501,2341964,1931582
RO21,3780653,3256734,2715076
RO22,2957707,2469868,1729871
RO31,3532198,3031555,2074066
RO32,2337293,2288203,2116912
RO41,2441803,1993482,1343275
RO42,2089433,1802212,1441929
SE11,1708502,2231439,2990792
SE12,1500619,1638825,2041637
SE21,812447,834276,994408
SE22,1259002,1459880,1885343
SE23,1745437,1963466,2479064
SE31,866355,838747,928344
SE32,396596,371273,390727
SE33,527423,513111,543749
SI03,1090821.669,1092193,1034940
SI04,898655.3309,971995,1008811
SK01,616955.8098,633288,776992
SK02,1871372.087,1832159,1592792
SK03,1346445.261,1343458,1194034
SK04,1521433.842,1617347,1583397
